text,label
"En el congreso se debate y aprueban leyes, leyes que luego serán acatadas y puestas en práctica por el poder judicial, será por eso que primero van al congreso antes que ir al poder judicial?",0
"Hablan sin saber. Hace poco asesinaron a un vecino chofer a tres cuadras de mi casa por no pagar cupos. No tiene idea de lo que dice. Para muchos esto no es un debate en redes, es una cuestión de vida o muerte.",0
"Este impresentable detrás del bodrio que es ese debate",0
"Debería darte vergüenza Tahuichi. Entendimos los votantes que, el objetivo del debate no era desnudar a los candidatos, sino arroparse con propuestas de solución a la crisis.",0
"Cual si fuesen novatos! dejaron que Lara violara casi todas las reglas del debate, si no hay penalización este tipo de situaciones incómodas seguirán sucediendo.",0
"No moderaron nada, dejaron que Lara violara casi todas las reglas del debate, si no hay penalización este tipo de situaciones incómodas seguirán sucediendo.",0
"Que comentario parcializado, resentido y mal intencionado de su parte. Las propuestas son “hablar del futuro”, proposiciones, ideas, promesas en base a una realidad . Y que Lara tuvo a su favor un tema no es el espíritu de un debate… Que despropósito….",0
"VOCAL TAHUICHI EL DEBATE VICEPRESIDENCIAL: “QUISIÉRAMOS TENER JUGADORES DE TALLA, PERO ES LO QUE TENEMOS” Leer más 👉 https://oxigeno.bo/politica/68446",0
"Debate por el balotaje en Bolivia: Ganó la estrategia, perdió la agenda mediática https://eju.tv/2025/10/debate-por-el-balotaje-en-bolivia-gano-la-estrategia-perdio-la-agenda-mediatica/ a través de @ejutv",0
"DEBATE PRESIDENCIAL, LA PINTANA 2025 https://www.youtube.com/watch?si=8CMG4CTkQPLM8Sed&v=pw91RWkzvdE&feature=youtu.be a través de @YouTube",1
"Sala Plena del TSE definirá este martes los ejes temáticos del debate presidencial, señala vocal Ávila https://eju.tv/2025/10/sala-plena-del-tse-definira-este-martes-los-ejes-tematicos-del-debate-presidencial-senala-vocal-avila/ a través de @ejutv",1
"Era el disfraz, terminó el debate y prácticamente la botó… así de hipócrita es el paco",0
"🔴En VIVO Confirman debate vicepresidencial por RTP y Radio Deseo este miércoles desde las 20.00 #NoMentirás",1
"*Debate por el balotaje en Bolivia: Ganó la estrategia, perdió la agenda mediática* Los que esperaban el debate de los dos candidatos a vicepresidente de Bolivia para ver quién golpea, quién cae, quién sangra, como si fuera un ring de boxeo, se quedaron con los crespos hechos pero más decepcionada quedó la ciudadanía que esperaba dilucidar cuál de los dos postulantes podía perfilarse más claramente como el mejor segundo mandatario de la elección del 19 de octubre. ✅Aquí el texto completo:  📎 https://t.co/6U3LdeL3P6 Suscripción gratuita por email:",0
"#FuegoCruzado 🗳 La comunicadora social Verónica Rocha analiza el debate vicepresidencial llevado a cabo el pasado domingo, organizado por el TSE, entre los candidatos Juan Pablo Velasco y Edman Lara.",1
